"Verkiezing","NIS","Lijstnummer","lijst","VolledigLijstStemmen","OnvolledigLijstStemmen"
"Zelzate","43018",9,"PVDA+",556,1337
"Zelzate","43018",10,"OP Zelzate",141,338
"Zemst","23096",1,"Open Vld",328,748
"Zemst","23096",2,"N-VA",1388,2613
"Zemst","23096",3,"VLAAMS BELANG",357,624
"Zemst","23096",4,"sp.a - Groen",651,1757
"Zemst","23096",7,"CD&V",454,4007
"Zemst","23096",8,"Vlam",355,2116
"Zingem","45057",1,"Open Vld",220,1164
"Zingem","45057",2,"N-VA",356,762
"Zingem","45057",8,"SAMEN",415,2320
"Zoersel","11055",1,"Open Vld",342,1105
"Zoersel","11055",2,"N-VA",1924,3397
"Zoersel","11055",3,"VLAAMS BELANG",360,918
"Zoersel","11055",4,"sp.a",208,630
"Zoersel","11055",6,"Groen",428,696
"Zoersel","11055",7,"CD&V",495,3774
"Zoersel","11055",8,"H-eerlijk ZOERSEL",167,472
"Zomergem","44080",1,"Open Vld",155,1450
"Zomergem","44080",2,"N-VA",256,510
"Zomergem","44080",4,"sp.a-Groen",136,590
"Zomergem","44080",7,"CD&V",188,2616
"Zomergem","44080",8,"LDDplus",20,115
"Zonhoven","71066",1,"Open Vld",614,4252
"Zonhoven","71066",2,"N-VA",1061,1749
"Zonhoven","71066",3,"VLAAMS BELANG",315,643
"Zonhoven","71066",4,"sp.a - Groen",426,2601
"Zonhoven","71066",7,"CD&V",251,1360
"Zonhoven","71066",8,"VOLUIT Zonhoven",171,796
"Zonhoven","71066",9,"JONG EN DYNAMISCH",106,234
"Zonnebeke","33037",4,"sp.a",348,1754
"Zonnebeke","33037",7,"CD&V",370,2038
"Zonnebeke","33037",8,"INSPRAAK",608,3424
"Zottegem","41081",1,"Open Vld",641,2270
"Zottegem","41081",2,"N-VA - ZAP",1601,3022
"Zottegem","41081",3,"VLAAMS BELANG-VLOT",350,190
"Zottegem","41081",4,"sp.a",533,3595
"Zottegem","41081",6,"Groen",512,888
"Zottegem","41081",7,"CD&V",418,4087
"Zottegem","41081",8,"LEEF!",85,233
"Zottegem","41081",9,"LDD PLUS",50,82
"Zoutleeuw","24130",1,"Open Vld",118,1187
"Zoutleeuw","24130",2,"N-VA",376,598
"Zoutleeuw","24130",4,"sp.a",120,1170
"Zoutleeuw","24130",7,"CD&V",161,2157
"Zoutleeuw","24130",8,"LIJST STADS BELANG",46,107
"Zuienkerke","31042",8,"Lijst Burgemeester",232,1660
"Zuienkerke","31042",9,"NogBeterZuienkerke",89,100
"Zulte","44081",2,"N-VA",493,647
"Zulte","44081",7,"CD&V",391,4177
"Zulte","44081",8,"Open Zulte",448,3537
"Zulte","44081",9,"GVZ",272,1051
"Zutendaal","71067",7,"CD&V",150,2082
"Zutendaal","71067",8,"Nieuw ZVP",208,1947
"Zutendaal","71067",9,"Samen Zutendaal",66,430
"Zutendaal","71067",10,"Swadhisthana",13,18
"Zwalm","45065",1,"Open Vld",190,2169
"Zwalm","45065",2,"N-VA",340,426
"Zwalm","45065",7,"CD&V-PLUS",80,771
"Zwalm","45065",8,"voorZwalm",248,1464
"Zwalm","45065",9,"VANDENMEERSSCHAUT",94,112
"Zwevegem","34042",2,"N-VA",1955,2515
"Zwevegem","34042",3,"VLAAMS BELANG",515,287
"Zwevegem","34042",4,"sp.a",845,1268
"Zwevegem","34042",7,"CD&V",865,6149
"Zwevegem","34042",8,"Gemeentebelangen",560,2035
"Zwijndrecht","11056",1,"Open Vld",100,275
"Zwijndrecht","11056",2,"N-VA",1025,2791
"Zwijndrecht","11056",3,"VLAAMS BELANG",501,894
"Zwijndrecht","11056",4,"sp.a",271,967
"Zwijndrecht","11056",6,"Groen",1211,2832
"Zwijndrecht","11056",7,"CD&V",234,1764
