"CODE"	"FRANSE BENAMING"	"NEDERLANDSE BENAMING"	"DUITSE BENAMING"	"BEGINDATUM"	"EINDDATUM"
"41073"	"-"	"Voorde"	"-"	"01.01.0001"	"01.01.1977"
"41074"	"-"	"Waarbeke"	"-"	"01.01.0001"	"22.03.1977"
"41075"	"-"	"Wanzele"	"-"	"01.01.0001"	"01.01.1977"
"41076"	"-"	"Welle"	"-"	"01.01.0001"	"03.01.1977"
"41077"	"-"	"Woubrechtegem"	"-"	"01.01.0001"	"02.02.1977"
"41078"	"-"	"Zandbergen"	"-"	"01.01.0001"	"22.03.1977"
"41079"	"-"	"Zarlardinge"	"-"	"01.01.0001"	"22.03.1977"
"41080"	"-"	"Zonnegem"	"-"	"01.01.0001"	"22.04.1977"
"41081"	"-"	"Zottegem"	"-"	"01.01.0001"	"31.12.9999"
"41082"	"-"	"Erpe-Mere"	"-"	"01.01.1977"	"31.12.9999"
"42001"	"-"	"Appels"	"-"	"01.01.0001"	"20.04.1972"
"42002"	"-"	"Baasrode"	"-"	"01.01.0001"	"01.01.1977"
"42003"	"-"	"Berlare"	"-"	"01.01.0001"	"31.12.9999"
"42004"	"-"	"Buggenhout"	"-"	"01.01.0001"	"31.12.9999"
"42005"	"-"	"Denderbelle"	"-"	"01.01.0001"	"23.02.1977"
"42006"	"Termonde"	"Dendermonde"	"Dendermonde"	"01.01.0001"	"31.12.9999"
"42007"	"-"	"Grembergen"	"-"	"01.01.0001"	"01.01.1977"
"42008"	"-"	"Hamme (Vl.)"	"-"	"01.01.0001"	"31.12.9999"
"42009"	"-"	"Kalken"	"-"	"01.01.0001"	"01.01.1977"
"42010"	"-"	"Laarne"	"-"	"01.01.0001"	"31.12.9999"
"42011"	"-"	"Lebbeke"	"-"	"01.01.0001"	"31.12.9999"
"42012"	"-"	"Massemen"	"-"	"01.01.0001"	"01.01.1977"
"42013"	"-"	"Mespelare"	"-"	"01.01.0001"	"01.01.1977"
"42014"	"-"	"Moerzeke"	"-"	"01.01.0001"	"01.01.1977"
"42015"	"-"	"Opdorp"	"-"	"01.01.0001"	"02.01.1965"
"42016"	"-"	"Oudegem"	"-"	"01.01.0001"	"01.01.1977"
"42017"	"-"	"Overmere"	"-"	"01.01.0001"	"02.01.1977"
"42018"	"-"	"Schellebelle"	"-"	"01.01.0001"	"01.01.1977"
"42019"	"-"	"Schoonaarde"	"-"	"01.01.0001"	"01.01.1977"
"42020"	"-"	"Serskamp"	"-"	"01.01.0001"	"01.01.1977"
"42021"	"-"	"Sint-Gillis-bij-Dendermonde"	"-"	"01.01.0001"	"20.04.1972"
"42022"	"-"	"Uitbergen"	"-"	"01.01.0001"	"02.01.1977"
"42023"	"-"	"Waasmunster"	"-"	"01.01.0001"	"31.12.9999"
"42024"	"-"	"Westrem"	"-"	"01.01.0001"	"01.01.1977"
"42025"	"-"	"Wetteren"	"-"	"01.01.0001"	"31.12.9999"
"42026"	"-"	"Wichelen"	"-"	"01.01.0001"	"31.12.9999"
"42027"	"-"	"Wieze"	"-"	"01.01.0001"	"23.02.1977"
"42028"	"-"	"Zele"	"-"	"01.01.0001"	"31.12.9999"
"43001"	"-"	"Adegem"	"-"	"01.01.0001"	"02.03.1977"
"43002"	"-"	"Assenede"	"-"	"01.01.0001"	"31.12.9999"
"43003"	"-"	"Bassevelde"	"-"	"01.01.0001"	"19.04.1977"
"43004"	"-"	"Boekhoute"	"-"	"01.01.0001"	"19.04.1977"
"43005"	"-"	"Eeklo"	"-"	"01.01.0001"	"31.12.9999"
"43006"	"-"	"Ertvelde"	"-"	"01.01.0001"	"01.01.1977"
"43007"	"-"	"Kaprijke"	"-"	"01.01.0001"	"31.12.9999"
"43008"	"-"	"Kluizen"	"-"	"01.01.0001"	"23.04.1965"
"43009"	"-"	"Lembeke"	"-"	"01.01.0001"	"01.01.1977"
"43010"	"-"	"Maldegem"	"-"	"01.01.0001"	"31.12.9999"
"43011"	"-"	"Middelburg"	"-"	"01.01.0001"	"01.01.1977"
"43012"	"-"	"Oosteeklo"	"-"	"01.01.0001"	"19.04.1977"
"43013"	"-"	"Sint-Jan-in-Eremo"	"-"	"01.01.0001"	"03.01.1977"
"43014"	"-"	"Sint-Laureins"	"-"	"01.01.0001"	"31.12.9999"
"43015"	"-"	"Sint-Margriete"	"-"	"01.01.0001"	"03.01.1977"
"43016"	"-"	"Waterland-Oudeman"	"-"	"01.01.0001"	"03.01.1977"
"43017"	"-"	"Watervliet"	"-"	"01.01.0001"	"03.01.1977"
"43018"	"-"	"Zelzate"	"-"	"01.01.0001"	"31.12.9999"
"44001"	"-"	"Aalter"	"-"	"01.01.0001"	"31.12.9999"
"44002"	"-"	"Afsnee"	"-"	"01.01.0001"	"01.01.1977"
"44003"	"-"	"Asper"	"-"	"01.01.0001"	"02.01.1977"
"44004"	"-"	"Astene"	"-"	"01.01.0001"	"04.03.1971"
"44005"	"-"	"Baaigem"	"-"	"01.01.0001"	"02.01.1977"
"44006"	"-"	"Bachte-Maria-Leerne"	"-"	"01.01.0001"	"01.01.1977"
"44007"	"-"	"Balegem"	"-"	"01.01.0001"	"02.01.1977"
"44008"	"-"	"Beervelde"	"-"	"01.01.0001"	"02.01.1977"
"44009"	"-"	"Bellem"	"-"	"01.01.0001"	"01.01.1977"
"44010"	"-"	"Bottelare"	"-"	"01.01.0001"	"02.04.1977"
"44011"	"-"	"Deinze"	"-"	"01.01.0001"	"31.12.9999"
"44012"	"-"	"De Pinte"	"-"	"01.01.0001"	"31.12.9999"
"44013"	"-"	"Destelbergen"	"-"	"01.01.0001"	"31.12.9999"
"44014"	"-"	"Desteldonk"	"-"	"01.01.0001"	"23.01.1965"
"44015"	"-"	"Deurle"	"-"	"01.01.0001"	"01.01.1977"
"44016"	"-"	"Dikkelvenne"	"-"	"01.01.0001"	"02.01.1977"
"44017"	"Tronchiennes"	"Drongen"	"Drongen"	"01.01.0001"	"01.01.1977"
"44018"	"-"	"Eke"	"-"	"01.01.0001"	"01.01.1977"
"44019"	"-"	"Evergem"	"-"	"01.01.0001"	"31.12.9999"
"44020"	"-"	"Gavere"	"-"	"01.01.0001"	"31.12.9999"
"44021"	"Gand"	"Gent"	"Gent"	"01.01.0001"	"31.12.9999"
"44022"	"-"	"Gentbrugge"	"-"	"01.01.0001"	"01.01.1977"
"44023"	"-"	"Gijzenzele"	"-"	"01.01.0001"	"02.01.1977"
"44024"	"-"	"Gontrode"	"-"	"01.01.0001"	"02.01.1977"
"44025"	"-"	"Gottem"	"-"	"01.01.0001"	"01.01.1977"
"44026"	"-"	"Grammene"	"-"	"01.01.0001"	"01.01.1977"
"44027"	"-"	"Hansbeke"	"-"	"01.01.0001"	"01.01.1977"
"44028"	"-"	"Heusden (Vl.)"	"-"	"01.01.0001"	"03.01.1977"
"44029"	"-"	"Knesselare"	"-"	"01.01.0001"	"31.12.9999"
"44030"	"-"	"Landegem"	"-"	"01.01.0001"	"01.01.1977"
"44031"	"-"	"Landskouter"	"-"	"01.01.0001"	"02.01.1977"
"44032"	"-"	"Ledeberg"	"-"	"01.01.0001"	"01.01.1977"
"44033"	"-"	"Lemberge"	"-"	"01.01.0001"	"22.01.1965"
"44034"	"-"	"Lochristi"	"-"	"01.01.0001"	"31.12.9999"
"44035"	"-"	"Lotenhulle"	"-"	"01.01.0001"	"01.01.1977"
"44036"	"-"	"Lovendegem"	"-"	"01.01.0001"	"31.12.9999"
"44037"	"-"	"Machelen (Vl.)"	"-"	"01.01.0001"	"02.01.1977"
"44038"	"-"	"Mariakerke"	"-"	"01.01.0001"	"01.01.1977"
"44039"	"-"	"Meigem"	"-"	"01.01.0001"	"01.01.1977"
"44040"	"-"	"Melle"	"-"	"01.01.0001"	"31.12.9999"
"44041"	"-"	"Melsen"	"-"	"01.01.0001"	"02.04.1977"
"44042"	"-"	"Mendonk"	"-"	"01.01.0001"	"23.01.1965"
"44043"	"-"	"Merelbeke"	"-"	"01.01.0001"	"31.12.9999"
"44044"	"-"	"Merendree"	"-"	"01.01.0001"	"01.01.1977"
"44045"	"-"	"Moerbeke (Waas)"	"-"	"01.01.0001"	"31.12.9999"
"44046"	"-"	"Moortsele"	"-"	"01.01.0001"	"02.01.1977"
"44047"	"-"	"Munte"	"-"	"01.01.0001"	"02.04.1977"
"44048"	"-"	"Nazareth"	"-"	"01.01.0001"	"31.12.9999"
"44049"	"-"	"Nevele"	"-"	"01.01.0001"	"31.12.9999"
"44050"	"-"	"Olsene"	"-"	"01.01.0001"	"02.01.1977"
"44051"	"-"	"Oostakker"	"-"	"01.01.0001"	"01.01.1977"
"44052"	"-"	"Oosterzele"	"-"	"01.01.0001"	"31.12.9999"
"44053"	"-"	"Oostwinkel"	"-"	"01.01.0001"	"01.01.1977"
"44054"	"-"	"Petegem-aan-de-Leie"	"-"	"01.01.0001"	"04.03.1971"
"44055"	"-"	"Poeke"	"-"	"01.01.0001"	"01.01.1977"
"44056"	"-"	"Poesele"	"-"	"01.01.0001"	"01.01.1977"
"44057"	"-"	"Ronsele"	"-"	"01.01.0001"	"01.01.1977"
"44058"	"-"	"Schelderode"	"-"	"01.01.0001"	"02.04.1977"
"44059"	"-"	"Scheldewindeke"	"-"	"01.01.0001"	"02.01.1977"
"44060"	"-"	"Semmerzake"	"-"	"01.01.0001"	"02.01.1977"
"44061"	"-"	"Sint-Amandsberg"	"-"	"01.01.0001"	"01.01.1977"
"44062"	"-"	"Sint-Denijs-Westrem"	"-"	"01.01.0001"	"01.01.1977"
"44063"	"-"	"Sint-Kruis-Winkel"	"-"	"01.01.0001"	"23.01.1965"
"44064"	"-"	"Sint-Martens-Latem"	"-"	"01.01.0001"	"31.12.9999"
"44065"	"-"	"Sint-Martens-Leerne"	"-"	"01.01.0001"	"01.01.1977"
"44066"	"-"	"Sleidinge"	"-"	"01.01.0001"	"01.01.1977"
"44067"	"-"	"Ursel"	"-"	"01.01.0001"	"11.02.1977"
"44068"	"-"	"Vinderhoute"	"-"	"01.01.0001"	"01.01.1977"
"44069"	"-"	"Vinkt"	"-"	"01.01.0001"	"01.01.1977"
"44070"	"-"	"Vosselare"	"-"	"01.01.0001"	"01.01.1977"
"44071"	"-"	"Vurste"	"-"	"01.01.0001"	"02.01.1977"
"44072"	"-"	"Waarschoot"	"-"	"01.01.0001"	"31.12.9999"
"44073"	"-"	"Wachtebeke"	"-"	"01.01.0001"	"31.12.9999"
"44074"	"-"	"Wondelgem"	"-"	"01.01.0001"	"01.01.1977"
"44075"	"-"	"Wontergem"	"-"	"01.01.0001"	"01.01.1977"
"44076"	"-"	"Zaffelare"	"-"	"01.01.0001"	"02.01.1977"
"44077"	"-"	"Zeveneken"	"-"	"01.01.0001"	"02.01.1977"
"44078"	"-"	"Zeveren"	"-"	"01.01.0001"	"04.03.1971"
"44079"	"-"	"Zevergem"	"-"	"01.01.0001"	"01.01.1977"
"44080"	"-"	"Zomergem"	"-"	"01.01.0001"	"31.12.9999"
"44081"	"-"	"Zulte"	"-"	"01.01.0001"	"31.12.9999"
"44082"	"-"	"Zwijnaarde"	"-"	"01.01.0001"	"02.04.1977"
"44121"	"-"	"Gent Oost"	"-"	"01.01.0001"	"31.12.9999"
"44221"	"-"	"Gent West"	"-"	"01.01.0001"	"31.12.9999"
"45001"	"-"	"Beerlegem"	"-"	"01.01.0001"	"01.01.1971"
"45002"	"-"	"Berchem (Vl.)"	"-"	"01.01.0001"	"01.01.1971"
"45003"	"-"	"Bevere"	"-"	"01.01.0001"	"02.01.1965"
"45004"	"-"	"Deftinge"	"-"	"01.01.0001"	"01.01.1977"
"45005"	"-"	"Dikkele"	"-"	"01.01.0001"	"01.01.1971"
"45006"	"-"	"Edelare"	"-"	"01.01.0001"	"02.01.1965"
"45007"	"-"	"Eine"	"-"	"01.01.0001"	"02.01.1965"
"45008"	"-"	"Elsegem"	"-"	"01.01.0001"	"01.10.1971"
"45009"	"-"	"Elst"	"-"	"01.01.0001"	"15.04.1971"
"45010"	"-"	"Ename"	"-"	"01.01.0001"	"02.01.1965"
"45011"	"-"	"Etikhove"	"-"	"01.01.0001"	"01.01.1977"
"45012"	"-"	"Everbeek"	"-"	"01.01.0001"	"17.11.1977"
"45013"	"-"	"Hemelveerdegem"	"-"	"01.01.0001"	"01.01.1977"
"45014"	"-"	"Heurne"	"-"	"01.01.0001"	"01.01.1971"
"45015"	"-"	"Huise"	"-"	"01.01.0001"	"02.05.1977"
"45016"	"-"	"Hundelgem"	"-"	"01.01.0001"	"01.01.1971"
"45017"	"-"	"Kruishoutem"	"-"	"01.01.0001"	"31.12.9999"
"45018"	"-"	"Kwaremont"	"-"	"01.01.0001"	"01.01.1971"
"45019"	"-"	"Leupegem"	"-"	"01.01.0001"	"02.01.1965"
"45020"	"-"	"Maarke-Kerkem"	"-"	"01.01.0001"	"01.01.1977"
"45021"	"-"	"Mater"	"-"	"01.01.0001"	"01.01.1971"
"45022"	"-"	"Meilegem"	"-"	"01.01.0001"	"01.01.1971"
"45023"	"-"	"Melden"	"-"	"01.01.0001"	"01.01.1971"
"45024"	"-"	"Michelbeke"	"-"	"01.01.0001"	"15.04.1971"
"45025"	"-"	"Moregem"	"-"	"01.01.0001"	"01.10.1971"
"45026"	"-"	"Mullem"	"-"	"01.01.0001"	"01.01.1977"
"45027"	"-"	"Munkzwalm"	"-"	"01.01.0001"	"13.09.1977"
"45028"	"-"	"Nederbrakel"	"-"	"01.01.0001"	"15.04.1971"
"45029"	"-"	"Nederename"	"-"	"01.01.0001"	"02.01.1965"
"45030"	"-"	"Nederzwalm-Hermelgem"	"-"	"01.01.0001"	"13.09.1977"
"45031"	"-"	"Nokere"	"-"	"01.01.0001"	"01.01.1977"
"45032"	"-"	"Nukerke"	"-"	"01.01.0001"	"01.01.1977"
"45033"	"-"	"Ooike"	"-"	"01.01.0001"	"01.01.1977"
"45034"	"-"	"Opbrakel"	"-"	"01.01.0001"	"15.04.1971"
"45035"	"Audenarde"	"Oudenaarde"	"Oudenaarde"	"01.01.0001"	"31.12.9999"
"45036"	"-"	"Ouwegem"	"-"	"01.01.0001"	"02.05.1977"
"45037"	"-"	"Parike"	"-"	"01.01.0001"	"17.11.1977"
"45038"	"-"	"Paulatem"	"-"	"01.01.0001"	"01.01.1971"
"45039"	"-"	"Petegem-aan-de-Schelde"	"-"	"01.01.0001"	"01.10.1971"
"45040"	"-"	"Roborst"	"-"	"01.01.0001"	"01.01.1971"
"45041"	"Renaix"	"Ronse"	"-"	"01.01.0001"	"31.12.9999"
"45042"	"-"	"Rozebeke"	"-"	"01.01.0001"	"01.01.1971"
"45043"	"-"	"Ruien"	"-"	"01.01.0001"	"01.01.1971"
"45044"	"-"	"Schorisse"	"-"	"01.01.0001"	"01.01.1977"
"45045"	"-"	"Sint-Blasius-Boekel"	"-"	"01.01.0001"	"01.01.1971"
"45046"	"-"	"Sint-Denijs-Boekel"	"-"	"01.01.0001"	"01.01.1971"
"45047"	"-"	"Sint-Kornelis-Horebeke"	"-"	"01.01.0001"	"02.01.1977"
"45048"	"-"	"Sint-Maria-Horebeke"	"-"	"01.01.0001"	"02.01.1977"
"45049"	"-"	"Sint-Maria-Latem"	"-"	"01.01.0001"	"01.01.1971"
"45050"	"-"	"Sint-Maria-Lierde"	"-"	"01.01.0001"	"01.01.1977"
"45051"	"-"	"Sint-Martens-Lierde"	"-"	"01.01.0001"	"01.01.1977"
"45052"	"-"	"Volkegem"	"-"	"01.01.0001"	"02.01.1965"
"45053"	"-"	"Wannegem-Lede"	"-"	"01.01.0001"	"01.01.1977"
"45054"	"-"	"Welden"	"-"	"01.01.0001"	"01.01.1971"
"45055"	"-"	"Wortegem"	"-"	"01.01.0001"	"01.10.1971"
"45056"	"-"	"Zegelsem"	"-"	"01.01.0001"	"15.04.1971"
"45057"	"-"	"Zingem"	"-"	"01.01.0001"	"31.12.9999"
"45058"	"-"	"Zulzeke"	"-"	"01.01.0001"	"01.01.1971"
"45059"	"-"	"Brakel"	"-"	"15.04.1971"	"31.12.9999"
"45060"	"-"	"Kluisbergen"	"-"	"01.01.1971"	"31.12.9999"
"45061"	"-"	"Wortegem-Petegem"	"-"	"01.10.1971"	"31.12.9999"
"45062"	"-"	"Horebeke"	"-"	"01.01.1977"	"31.12.9999"
"45063"	"-"	"Lierde"	"-"	"01.01.1977"	"31.12.9999"
"45064"	"-"	"Maarkedal"	"-"	"01.01.1977"	"31.12.9999"
"45065"	"-"	"Zwalm"	"-"	"13.09.1977"	"31.12.9999"
"45501"	"-"	"Hermelgem"	"-"	"01.01.0001"	"01.01.1900"
"45502"	"-"	"Nederzwalm"	"-"	"01.01.0001"	"01.01.1900"
"46001"	"-"	"Bazel"	"-"	"01.01.0001"	"01.04.1977"
"46002"	"-"	"Belsele"	"-"	"01.01.0001"	"01.01.1977"
"46003"	"-"	"Beveren"	"-"	"01.01.0001"	"31.12.9999"
"46004"	"-"	"Daknam"	"-"	"01.01.0001"	"01.01.1977"
"46005"	"-"	"De Klinge"	"-"	"01.01.0001"	"02.01.1977"
"46006"	"-"	"Doel"	"-"	"01.01.0001"	"03.01.1977"
"46007"	"-"	"Eksaarde"	"-"	"01.01.0001"	"01.01.1977"
"46008"	"-"	"Elversele"	"-"	"01.01.0001"	"03.01.1977"
"46009"	"-"	"Haasdonk"	"-"	"01.01.0001"	"03.01.1977"
"46010"	"-"	"Kallo"	"-"	"01.01.0001"	"03.01.1977"
"46011"	"-"	"Kemzeke"	"-"	"01.01.0001"	"08.02.1977"
"46012"	"-"	"Kieldrecht"	"-"	"01.01.0001"	"03.01.1977"
"46013"	"-"	"Kruibeke"	"-"	"01.01.0001"	"31.12.9999"
"46014"	"-"	"Lokeren"	"-"	"01.01.0001"	"31.12.9999"
"46015"	"-"	"Meerdonk"	"-"	"01.01.0001"	"02.01.1977"
"46016"	"-"	"Melsele"	"-"	"01.01.0001"	"03.01.1977"
"46017"	"-"	"Nieuwkerken-Waas"	"-"	"01.01.0001"	"01.01.1977"
"46018"	"-"	"Rupelmonde"	"-"	"01.01.0001"	"01.04.1977"
"46019"	"-"	"Sinaai"	"-"	"01.01.0001"	"08.02.1977"
"46020"	"-"	"Sint-Gillis-Waas"	"-"	"01.01.0001"	"31.12.9999"
"46021"	"Saint-Nicolas (Waes)"	"Sint-Niklaas"	"Sint-Niklaas"	"01.01.0001"	"31.12.9999"
"46022"	"-"	"Sint-Pauwels"	"-"	"01.01.0001"	"02.01.1977"
"46023"	"-"	"Steendorp"	"-"	"01.01.0001"	"03.01.1977"
"46024"	"-"	"Stekene"	"-"	"01.01.0001"	"31.12.9999"
"46025"	"Tamise"	"Temse"	"Temse"	"01.01.0001"	"31.12.9999"
"46026"	"-"	"Tielrode"	"-"	"01.01.0001"	"03.01.1977"
"46027"	"-"	"Verrebroek"	"-"	"01.01.0001"	"03.01.1977"
"46028"	"-"	"Vrasene"	"-"	"01.01.0001"	"03.01.1977"
"50000"	"Pr.Hainaut"	"Pr.Henegouwen"	"Pr.Hennegau"	"01.01.0001"	"31.12.9999"
"51004"	"Ath"	"Aat"	"-"	"01.01.0001"	"31.12.9999"
"51017"	"Ellezelles"	"Elzele"	"-"	"01.01.0001"	"31.12.9999"
"51019"	"Flobecq"	"Vloesberg"	"-"	"01.01.0001"	"31.12.9999"
"51024"	"Ghislenghien"	"Gellingen"	"-"	"01.01.0001"	"02.03.1977"
"52501"	"Charleroi(D 1)"	"Charleroi(D 1)"	"Charleroi(D 1)"	"01.01.0001"	"31.12.9999"
"53044"	"Jurbise"	"Jurbeke"	"-"	"01.01.0001"	"31.12.9999"
"53053"	"Mons"	"Bergen"	"-"	"01.01.0001"	"31.12.9999"
"54001"	"Bas-Warneton"	"Neerwaasten"	"-"	"01.01.0001"	"03.01.1977"
"54002"	"Comines"	"Komen"	"-"	"01.01.0001"	"17.07.1982"
"54003"	"Dottignies"	"Dottenijs"	"-"	"01.01.0001"	"01.01.1977"
"54007"	"Mouscron"	"Moeskroen"	"-"	"01.01.0001"	"31.12.9999"
"54009"	"Warneton"	"Waasten"	"-"	"01.01.0001"	"03.01.1977"
"54010"	"Comines-Warneton"	"Komen-Waasten"	"-"	"17.07.1982"	"31.12.9999"
"55001"	"Bassilly"	"Zullik"	"-"	"01.01.0001"	"02.01.1977"
"55002"	"Bois-de-Lessines"	"Lessenbos"	"-"	"01.01.0001"	"02.01.1977"
"55004"	"Braine-le-Comte"	"s Gravenbrakel"	"-"	"01.01.0001"	"31.12.9999"
"55007"	"Deux-Acren"	"Twee-Akren"	"-"	"01.01.0001"	"02.01.1977"
"55010"	"Enghien"	"Edingen"	"-"	"01.01.0001"	"31.12.9999"
"55021"	"Hoves"	"Hove"	"-"	"01.01.0001"	"02.01.1977"
"55023"	"Lessines"	"Lessen"	"-"	"01.01.0001"	"31.12.9999"
"55025"	"Marcq"	"Mark"	"-"	"01.01.0001"	"02.01.1977"
"55030"	"Ollignies"	"Woelingen"	"-"	"01.01.0001"	"02.01.1977"
"55031"	"Papignies"	"Papegem"	"-"	"01.01.0001"	"02.01.1977"
"55033"	"Petit-Enghien"	"Lettelingen"	"-"	"01.01.0001"	"02.01.1977"
"55039"	"Silly"	"Opzullik"	"-"	"01.01.0001"	"31.12.9999"
"55040"	"Soignies"	"Zinnik"	"-"	"01.01.0001"	"31.12.9999"
"55041"	"Steenkerque"	"Steenkerke"	"-"	"01.01.0001"	"01.01.1977"
"57074"	"Russeignies"	"Rozenaken"	"-"	"01.01.0001"	"02.01.1977"
"57081"	"Tournai"	"Doornik"	"-"	"01.01.0001"	"31.12.9999"
"60000"	"Pr.Liège"	"Pr.Luik"	"Pr.Lüttich"	"01.01.0001"	"31.12.9999"
"61031"	"Huy"	"Hoei"	"-"	"01.01.0001"	"31.12.9999"
"62011"	"Bassenge"	"Bitsingen"	"-"	"01.01.0001"	"31.12.9999"
"62018"	"Bombaye"	"Bolbeek"	"-"	"01.01.0001"	"01.01.1977"
"62044"	"Glons"	"Glaaien"	"-"	"01.01.0001"	"01.04.1977"
"62061"	"Lanaye"	"Ternaaien"	"-"	"01.01.0001"	"01.01.1977"
"62063"	"Liège"	"Luik"	"Lüttich"	"01.01.0001"	"31.12.9999"
"62065"	"Lixhe"	"Lieze"	"-"	"01.01.0001"	"01.01.1977"
"62077"	"Othée"	"Elch"	"-"	"01.01.0001"	"01.01.1977"
"62086"	"Roclenge-sur-Geer"	"Rukkelingen-aan-de-Jeker"	"-"	"01.01.0001"	"01.04.1977"
"62108"	"Visé"	"Wezet"	"-"	"01.01.0001"	"31.12.9999"
"62114"	"Warsage"	"Weerst"	"-"	"01.01.0001"	"01.01.1977"
"62115"	"Wihogne"	"Nudorp"	"-"	"01.01.0001"	"02.01.1977"
"63001"	"Amblève"	"Amel"	"Amel"	"01.01.0001"	"31.12.9999"
"63012"	"Bullange"	"Büllingen"	"Büllingen"	"01.01.0001"	"31.12.9999"
"63013"	"Butgenbach"	"Bütgenbach"	"Bütgenbach"	"01.01.0001"	"31.12.9999"
"63019"	"-"	"-"	"Crombach"	"01.01.0001"	"01.01.1977"
"63021"	"-"	"-"	"Elsenborn"	"01.01.0001"	"02.01.1977"
"63023"	"-"	"-"	"Eupen"	"01.01.0001"	"31.12.9999"
"63024"	"-"	"-"	"Eynatten"	"01.01.0001"	"01.01.1977"
"63029"	"Goé"	"Gulke"	"-"	"01.01.0001"	"03.01.1977"
"63031"	"-"	"-"	"Hauset"	"01.01.0001"	"01.01.1977"
"63032"	"Henri-Chapelle"	"Hendrik-Kapelle"	"-"	"01.01.0001"	"02.01.1977"
"63033"	"-"	"-"	"Heppenbach"	"01.01.0001"	"01.01.1977"
"63034"	"-"	"-"	"Hergenrath"	"01.01.0001"	"01.01.1977"
"63037"	"Hombourg"	"Homburg"	"-"	"01.01.0001"	"02.01.1977"
"63040"	"La Calamine"	"Kelmis"	"Kelmis"	"01.01.0001"	"31.12.9999"
"63041"	"-"	"-"	"Kettenis"	"01.01.0001"	"02.01.1977"
"63046"	"Limbourg"	"Limburg"	"-"	"01.01.0001"	"31.12.9999"
"63047"	"-"	"-"	"Lommersweiler"	"01.01.0001"	"01.01.1977"
"63048"	"-"	"-"	"Lontzen"	"01.01.0001"	"31.12.9999"
"63049"	"Malmedy"	"Malmedy"	"Malmedy"	"01.01.0001"	"31.12.9999"
"63050"	"-"	"-"	"Manderfeld"	"01.01.0001"	"03.01.1977"
"63052"	"-"	"-"	"Meyerode"	"01.01.0001"	"01.01.1977"
"63056"	"-"	"-"	"Neu-Moresnet"	"01.01.0001"	"01.01.1977"
"63061"	"-"	"-"	"Raeren"	"01.01.0001"	"31.12.9999"
"63063"	"-"	"-"	"Recht"	"01.01.0001"	"01.01.1977"
"63064"	"-"	"-"	"Reuland"	"01.01.0001"	"03.01.1977"
"63066"	"-"	"-"	"Rocherath"	"01.01.0001"	"03.01.1977"
"63067"	"Saint-Vith"	"Sankt Vith"	"Sankt Vith"	"01.01.0001"	"31.12.9999"
"63069"	"-"	"-"	"Schönberg"	"01.01.0001"	"03.01.1977"
"63078"	"-"	"-"	"Thommen"	"01.01.0001"	"03.01.1977"
"63080"	"Waimes"	"Weismes"	"-"	"01.01.0001"	"31.12.9999"
"63081"	"-"	"-"	"Walhorn"	"01.01.0001"	"02.01.1977"
"63087"	"-"	"-"	"Burg-Reuland"	"01.01.0001"	"31.12.9999"
"64034"	"Hannut"	"Hannuit"	"-"	"01.01.0001"	"31.12.9999"
"64047"	"Lincent"	"Lijsem"	"-"	"01.01.0001"	"31.12.9999"
"64054"	"Oleye"	"Liek"	"-"	"01.01.0001"	"08.01.1971"
"64056"	"Oreye"	"Oerle"	"-"	"01.01.0001"	"31.12.9999"
"64058"	"Pellaines"	"Pellen"	"-"	"01.01.0001"	"03.01.1977"
"64062"	"Racour"	"Raatshoven"	"-"	"01.01.0001"	"03.01.1977"
"64064"	"Rosoux-Crenwick"	"Roost-Krenwik"	"-"	"01.01.0001"	"03.01.1977"
"64069"	"Trognée"	"Truielingen"	"-"	"01.01.0001"	"02.01.1977"
"64074"	"Waremme"	"Borgworm"	"-"	"01.01.0001"	"31.12.9999"
"70000"	"Pr.Limbourg"	"Pr.Limburg"	"Pr.Limburg"	"01.01.0001"	"31.12.9999"
"71001"	"-"	"Aalst (Limb.)"	"-"	"01.01.0001"	"02.01.1971"
"71002"	"-"	"As"	"-"	"01.01.0001"	"31.12.9999"
"71003"	"-"	"Berbroek"	"-"	"01.01.0001"	"01.01.1971"
"71004"	"-"	"Beringen"	"-"	"01.01.0001"	"31.12.9999"
"71005"	"-"	"Beverlo"	"-"	"01.01.0001"	"01.01.1977"
"71006"	"-"	"Binderveld"	"-"	"01.01.0001"	"02.01.1971"
"71007"	"-"	"Boekhout"	"-"	"01.01.0001"	"02.01.1971"
"71008"	"-"	"Borlo"	"-"	"01.01.0001"	"26.06.1977"
"71009"	"-"	"Brustem"	"-"	"01.01.0001"	"26.06.1977"
"71010"	"-"	"Buvingen"	"-"	"01.01.0001"	"09.01.1971"
"71011"	"-"	"Diepenbeek"	"-"	"01.01.0001"	"31.12.9999"
"71012"	"-"	"Donk"	"-"	"01.01.0001"	"05.01.1971"
"71013"	"-"	"Duras"	"-"	"01.01.0001"	"26.06.1977"
"71014"	"-"	"Engelmanshoven"	"-"	"01.01.0001"	"05.01.1971"
"71015"	"-"	"Gelinden"	"-"	"01.01.0001"	"05.01.1971"
"71016"	"-"	"Genk"	"-"	"01.01.0001"	"31.12.9999"
"71017"	"-"	"Gingelom"	"-"	"01.01.0001"	"31.12.9999"
"71018"	"-"	"Gorsem"	"-"	"01.01.0001"	"02.01.1971"
"71019"	"-"	"Groot-Gelmen"	"-"	"01.01.0001"	"05.01.1971"
"71020"	"-"	"Halen"	"-"	"01.01.0001"	"31.12.9999"
